;imp100;;;imp250;;;imp250;;;imp500;;;imp500;;;imp1000;;;imp2000;;
Predictors;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p
(Intercept);0.51;0.37 – 0.64;<0.001;0.48;0.35 – 0.61;<0.001;0.51;0.37 – 0.64;<0.001;0.63;0.45 – 0.80;<0.001;0.48;0.35 – 0.61;<0.001;0.64;0.47 – 0.81;<0.001;0.64;0.47 – 0.80;<0.001
imp;-0.19;-0.33 – -0.06;0.005;-0.41;-0.61 – -0.22;<0.001;-0.18;-0.32 – -0.05;0.008;-0.14;-0.29 – -0.00;0.046;-0.47;-0.70 – -0.24;<0.001;;;;;;
annual_precipitation_mm;;;;-0.11;-0.25 – 0.03;0.122;;;;;;;-0.10;-0.24 – 0.03;0.135;;;;;;
Arable;;;;-0.19;-0.34 – -0.03;0.016;;;;;;;-0.25;-0.43 – -0.08;0.004;;;;;;
Pastures;;;;-0.18;-0.33 – -0.03;0.021;;;;;;;-0.21;-0.38 – -0.05;0.011;;;;;;
Forest;;;;-0.17;-0.32 – -0.01;0.035;;;;;;;-0.19;-0.36 – -0.03;0.019;;;;;;
imp^2;;;;;;;;;;-0.13;-0.25 – -0.00;0.048;;;;-0.13;-0.25 – -0.02;0.030;-0.13;-0.24 – -0.02;0.023
Observations;259;;;259;;;259;;;259;;;259;;;259;;;259;;
R2 Nagelkerke;0.042;;;0.103;;;0.038;;;0.049;;;0.099;;;0.029;;;0.030;;